CA_on,p,py,w,h,t
0,0.0001,0,6,9,739.811
1,0.0001,0,6,9,5877.75
0,0.0001,0,6,9,1979.04
1,0.0001,0,6,9,218516
0,0.0001,0,6,9,1244.6
1,0.0001,0,6,9,126873
0,0.0001,0,6,9,961.314
1,0.0001,0,6,9,1974.07
0,0.0001,0,6,9,1332.69
1,0.0001,0,6,9,45941.4
0,0.0001,0,6,9,1438.65
1,0.0001,0,6,9,3291.59
0,0.0001,0,6,9,721.78
1,0.0001,0,6,9,107948
0,0.0001,0,6,9,1379.99
1,0.0001,0,6,9,52747.9
0,0.0001,0,6,9,1142.19
1,0.0001,0,6,9,3357.97
0,0.0001,0,6,9,1143.37
1,0.0001,0,6,9,214102
0,0.0001,0,6,9,570.596
1,0.0001,0,6,9,26119.8
0,0.0001,0,6,9,640.759
1,0.0001,0,6,9,14651.6
0,0.0001,0,6,9,511.11
1,0.0001,0,6,9,52136.8
0,0.0001,0,6,9,827.726
1,0.0001,0,6,9,75359.9
0,0.0001,0,6,9,958.171
1,0.0001,0,6,9,147025
0,0.0001,0,6,9,588.858
1,0.0001,0,6,9,62587.3
0,0.0001,0,6,9,875.127
1,0.0001,0,6,9,60205.7
0,0.0001,0,6,9,1126.15
1,0.0001,0,6,9,184479
0,0.0001,0,6,9,1771.08
